"TOA5","Cal_Pluv","CR1000","63522","CR1000.Std.32.03","CPU:EnsaioIR_4pluv.CR1","59817","Basculada"
"TIMESTAMP","RECORD","c","vazao","deltaT","massaT","IRm","IRr","IRrmed"
"TS","RN","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2023-06-14 10:19:18.64",112,112,2,7.379994,6931.4,200.0002,450.1877,268.9861
"2023-06-14 10:19:21.58",113,113,0.3999023,2.939998,6934.1,502.0412,90.01556,261.1093
"2023-06-14 10:19:27.14",114,114,0.3999023,5.559996,6940.5,265.4678,90.01556,259.2335
"2023-06-14 10:19:31.2",115,115,0.5,4.059997,6944.7,363.5471,112.5469,255.4819
"2023-06-14 10:19:36.96",116,116,0.699707,5.759995,6951.4,256.2502,157.4998,267.1103
"2023-06-14 10:19:41.82",117,117,0.5,4.859996,6957,303.7039,112.5469,261.4848
"2023-06-14 10:19:47.96",118,118,0.3999023,6.139995,6964.8,240.3911,90.01556,265.61
"2023-06-14 10:19:55.24",119,119,1.899902,7.279994,6972.8,202.7474,427.6564,258.1069
"2023-06-14 10:19:58.1",120,120,-4.100098,2.859998,6976.6,516.0843,-922.9069,259.609
"2023-06-14 10:20:02.24",121,121,-0.1000977,4.139997,6981.6,356.522,-22.53137,261.4848
"2023-06-14 10:20:09.44",122,122,2.200195,7.199994,6992,205.0002,495.2505,270.1126
"2023-06-14 10:20:12.54",123,123,0.1000977,3.099998,6995.6,476.1294,22.53137,267.8613
"2023-06-14 10:20:17.42",124,124,1.799805,4.879996,7001.5,302.4593,405.125,270.4882
"2023-06-14 10:20:22.28",125,125,0.2998047,4.839996,7006.5,304.9589,67.4842,267.4858
"2023-06-14 10:20:26.86",126,126,1,4.579997,7012,322.271,225.0939,269.7371
"2023-06-14 10:20:31.66",127,127,1.600098,4.799996,7018.1,307.5002,360.1722,275.3644
"2023-06-14 10:20:36.42",128,128,0.2998047,4.759996,7023.5,310.0843,67.4842,270.4882
"2023-06-14 10:20:41.18",129,129,2,4.759996,7030.1,310.0843,450.1877,274.2397
"2023-06-14 10:20:45.78",130,130,2,4.579997,7035,322.271,450.1877,271.9884
"2023-06-14 10:20:50.62",131,131,0.7998047,4.839996,7040.5,304.9589,180.0311,273.8642
"2023-06-14 10:20:55.34",132,132,0.7998047,4.719996,7046.5,312.7121,180.0311,276.491
"2023-06-14 10:20:59.9",133,133,1,4.559997,7050.4,323.6844,225.0939,267.8614
"2023-06-14 10:21:04.7",134,134,1.199707,4.799996,7056.8,307.5002,270.0467,247.2277
"2023-06-14 10:21:09.16",135,135,1.399902,4.459997,7062.8,330.942,315.1095,265.61
"2023-06-14 10:21:13.98",136,136,0.5,4.819996,7067.4,306.2243,112.5469,265.2345
"2023-06-14 10:21:19",137,1,0.1000977,5.019996,7073.7,294.0241,22.53137,262.985
"2023-06-14 10:21:23.56",138,2,0.5996094,4.559997,7079.3,323.6844,134.9684,264.8608
"2023-06-14 10:21:28.14",139,3,2,4.579997,7085.9,322.271,450.1877,270.8637
"2023-06-14 10:21:33.12",140,4,0.5,4.979996,7091.3,296.3858,112.5469,266.7366
"2023-06-14 10:21:37.74",141,5,0.5,4.619997,7095.7,319.4807,112.5469,264.4871
"2023-06-14 10:21:43.16",142,6,1.299805,5.419996,7103.8,272.3249,292.5781,269.7371
"2023-06-14 10:21:51.22",143,7,1.699707,8.059995,7113.9,183.1267,382.5936,268.9879
"2023-06-14 10:21:53.78",144,8,1.199707,2.559998,7115.9,576.5629,270.0467,269.7371
"2023-06-14 10:21:58.84",145,9,1.100098,5.059996,7122.1,291.6998,247.6252,273.115
"2023-06-14 10:22:03.08",146,10,1.299805,4.199997,7128.3,351.4288,292.5781,273.1132
"2023-06-14 10:22:08",147,11,1.100098,4.919996,7132.9,300.0002,247.6252,272.364
"2023-06-14 10:22:12.58",148,12,0.5,4.579997,7138.6,322.271,112.5469,269.3634
"2023-06-14 10:22:17.36",149,13,2,4.779996,7145.8,308.7868,450.1877,277.6158
"2023-06-14 10:22:22.16",150,14,0.7001953,4.799996,7151.7,307.5002,157.6097,273.8642
"2023-06-14 10:22:27.46",151,15,2.299805,5.279996,7157.9,279.5457,517.6719,277.6158
"2023-06-14 10:22:32.54",152,16,0.2998047,5.079996,7162.9,290.5514,67.4842,270.4882
"2023-06-14 10:22:37.04",153,17,2.399902,4.499997,7170.1,328.0002,540.2033,279.116
"2023-06-14 10:22:42.72",154,18,0.2998047,5.679996,7175,259.8593,67.4842,271.9884
"2023-06-14 10:22:47.4",155,19,2,4.679996,7182.2,315.3849,450.1877,274.9908
"2023-06-14 10:22:51.94",156,20,2.5,4.539997,7187.1,325.1104,562.7347,274.6152
"2023-06-14 10:22:58.54",157,21,0.300293,6.599995,7194.7,223.6366,67.59411,272.364
"2023-06-14 10:23:01.6",158,22,1.899902,3.059998,7198.9,482.3533,427.6564,274.9889
"2023-06-14 10:23:06.82",159,23,0.5,5.219996,7204.4,282.7589,112.5469,272.364
"2023-06-14 10:23:13.06",160,24,2.399902,6.239995,7213.8,236.5387,540.2033,275.74
"2023-06-14 10:23:16.3",161,25,0.09960938,3.239998,7216.3,455.5559,22.42146,271.9884
"2023-06-14 10:23:23.72",162,26,2.099609,7.419994,7225.8,198.922,472.6092,271.2374
"2023-06-14 10:23:26.56",163,27,1.100098,2.839998,7229.4,519.7187,247.6252,276.8647
