"TOA5","CalibraPluv","CR1000","63522","CR1000.Std.32.03","CPU:EnsaioIR_4pluv.CR1","64429","Basculada"
"TIMESTAMP","RECORD","c","vazao","deltaT","massaT","IRm","IRr","IRrmed"
"TS","RN","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-02-10 16:09:35.86",141,141,0.1000977,10.80006,4219.5,136.6659,22.53137,111.7959
"2022-02-10 16:09:49.7",142,142,0.699707,13.82013,4226.8,106.8008,157.4998,111.4204
"2022-02-10 16:10:00.28",143,143,0.2998047,10.58005,4231.9,139.5078,67.4842,112.1714
"2022-02-10 16:10:14.22",144,144,0.2001953,13.94013,4239,105.8814,45.06274,111.7959
"2022-02-10 16:10:24.64",145,145,0.2001953,10.42005,4244.1,141.65,45.06274,112.1714
"2022-02-10 16:10:40.72",146,146,0.4003906,16.08018,4252.2,91.79003,90.12548,112.5469
"2022-02-10 16:10:51.16",147,147,0.300293,10.44005,4257.6,141.3786,67.59411,113.298
"2022-02-10 16:11:07.38",148,148,0.300293,16.22018,4265.6,90.99776,67.59411,112.1714
"2022-02-10 16:11:17.82",149,149,0.300293,10.44005,4270.7,141.3786,67.59411,112.9225
"2022-02-10 16:11:33.8",150,150,1,15.96018,4278.9,92.48019,225.0939,112.9225
"2022-02-10 16:11:44.1",151,151,0.1000977,10.30005,4284,143.3003,22.53137,111.7959
"2022-02-10 16:12:00.2",152,152,0.1000977,16.10018,4292.1,91.67601,22.53137,111.7977
"2022-02-10 16:12:11.1",153,153,0.7998047,10.90006,4297.9,135.4121,180.0311,113.6717
"2022-02-10 16:12:26.74",154,154,0.2001953,15.64017,4305.2,94.37238,45.06274,114.049
"2022-02-10 16:12:37.32",155,155,0.5,10.58005,4310.8,139.5078,112.5469,112.1714
